Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
35,Wed,2022-11-02,21:30,Palmeiras,2.2,4–0,0.5,Fortaleza,,Allianz Parque,Wilton Sampaio,Match Report,
35,Wed,2022-11-02,21:30,Flamengo,0.6,1–2,0.7,Corinthians,,Estadio Jornalista Mário Filho,Ramon Abatti Abel,Match Report,
,,,,,,,,,,,,,
36,Sat,2022-11-05,16:30,Santos,1.3,1–1,1.2,Avaí,,Estádio Urbano Caldeira,Caio Max Augusto Vieira,Match Report,
36,Sat,2022-11-05,16:30,Fluminense,1.7,3–1,0.5,São Paulo,,Estadio Jornalista Mário Filho,Anderson Daronco,Match Report,
36,Sat,2022-11-05,19:00,Bragantino,2.0,1–4,2.6,América (MG),,Estádio Nabi Abi Chedid,Marcelo de Lima Henrique,Match Report,
36,Sat,2022-11-05,19:00,Goiás,0.7,1–0,0.7,Juventude,,Estádio de Hailé Pinheiro,Edina Alves Batista,Match Report,
36,Sat,2022-11-05,20:30,Corinthians,2.5,1–0,0.4,Ceará,41335,Neo Química Arena,Bruno Arleu de Araujo,Match Report,
36,Sun,2022-11-06,16:00,Fortaleza,1.5,1–1,1.2,Atl Goianiense,44810,Estádio Castelão,Luiz Flávio de Oliveira,Match Report,
36,Sun,2022-11-06,16:00,Coritiba,1.1,1–0,0.9,Flamengo,,Estádio Major Antônio Couto Pereira,Raphael Claus,Match Report,
36,Sun,2022-11-06,17:30 (18:30),Cuiabá,1.1,1–1,2.6,Palmeiras,,Arena Pantanal,Braulio da Silva Machado,Match Report,
36,Sat,2022-11-05,21:00,Internacional,1.3,2–0,0.7,Atl Paranaense,,Estádio José Pinheiro Borba,Flavio Rodrigues De Souza,Match Report,
36,Mon,2022-11-07,20:00,Atlético Mineiro,1.3,0–2,0.6,Botafogo (RJ),31160,Estádio Governador Magalhães Pinto,Leandro Pedro Vuaden,Match Report,
,,,,,,,,,,,,,
37,Wed,2022-11-09,19:00,Avaí,1.1,2–0,1.8,Ceará,,Estádio Aderbal Ramos da Silva,Luiz Flávio de Oliveira,Match Report,
37,Wed,2022-11-09,19:00,Fluminense,2.0,3–0,0.5,Goiás,,Estadio Jornalista Mário Filho,Paulo Cesar Zanovelli da Silva,Match Report,
37,Wed,2022-11-09,19:00,Coritiba,1.8,2–2,0.9,Corinthians,,Estádio Major Antônio Couto Pereira,Marcelo de Lima Henrique,Match Report,
37,Wed,2022-11-09,20:30,Fortaleza,4.1,6–0,0.1,Bragantino,,Estádio Castelão,Ramon Abatti Abel,Match Report,
37,Tue,2022-11-08,21:30,São Paulo,0.6,0–1,0.7,Internacional,19692,Estádio do Morumbi,Wagner do Nascimento Magalhães,Match Report,
37,Thu,2022-11-10,20:00,Botafogo (RJ),1.3,3–0,0.4,Santos,,Estádio Nilton Santos,Braulio da Silva Machado,Match Report,
37,Thu,2022-11-10,20:00,Atlético Mineiro,2.9,3–0,0.5,Cuiabá,,Estádio Governador Magalhães Pinto,Bruno Arleu de Araujo,Match Report,
37,Wed,2022-11-09,21:30,Juventude,0.5,2–2,2.4,Flamengo,,Estádio Alfredo Jaconi,Rodrigo José Pereira de Lima,Match Report,
37,Wed,2022-11-09,21:30,Atl Goianiense,1.3,1–1,0.4,Atl Paranaense,,Estádio Antônio Accioly,Jean Pierre Goncalves Lima,Match Report,
37,Wed,2022-11-09,21:30,Palmeiras,2.6,2–1,0.3,América (MG),,Allianz Parque,Savio Pereira,Match Report,
,,,,,,,,,,,,,
38,Sat,2022-11-12,16:00,Flamengo,1.8,1–2,1.8,Avaí,,Estadio Jornalista Mário Filho,Edina Alves Batista,Match Report,
38,Sun,2022-11-13,15:00 (16:00),Cuiabá,3.3,2–1,0.9,Coritiba,,Arena Pantanal,Flavio Rodrigues De Souza,Match Report,
38,Sun,2022-11-13,16:00,Corinthians,0.7,0–1,1.6,Atlético Mineiro,,Neo Química Arena,Braulio da Silva Machado,Match Report,
38,Sun,2022-11-13,16:00,Ceará,2.3,4–1,0.7,Juventude,,Estádio Castelão,Paulo Henrique Schleinch Vollkopf,Match Report,
38,Sun,2022-11-13,16:00,Santos,1.0,0–2,1.4,Fortaleza,,Estádio Urbano Caldeira,Wagner do Nascimento Magalhães,Match Report,
38,Sun,2022-11-13,16:00,Bragantino,0.9,0–1,0.6,Fluminense,,Estádio Nabi Abi Chedid,Bruno Arleu de Araujo,Match Report,
38,Sun,2022-11-13,16:00,América (MG),2.1,1–1,0.5,Atl Goianiense,,Estádio Raimundo Sampaio,Leandro Pedro Vuaden,Match Report,
38,Sun,2022-11-13,16:00,Goiás,0.2,0–4,1.7,São Paulo,,Estádio de Hailé Pinheiro,Marcelo de Lima Henrique,Match Report,
38,Sun,2022-11-13,16:00,Internacional,1.4,3–0,1.3,Palmeiras,,Estádio José Pinheiro Borba,Bruno Arleu de Araujo,Match Report,
38,Sun,2022-11-13,16:00,Atl Paranaense,2.5,3–0,0.9,Botafogo (RJ),,Estádio Joaquim Américo Guimarães,Anderson Daronco,Match Report,
