Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
8,Sun,2022-05-29,19:00,Atlético Mineiro,1.4,2–1,1.1,Avaí,31551,Estádio Governador Magalhães Pinto,Jefferson Ferreira de Moraes,Match Report,
8,Mon,2022-05-30,20:00,Internacional,0.7,1–1,2.1,Atl Goianiense,11050,Estádio José Pinheiro Borba,Marcelo de Lima Henrique,Match Report,
,,,,,,,,,,,,,
3,Wed,2022-06-01,20:30,Fortaleza,0.7,0–1,2.0,Ceará,37372,Estádio Castelão,Braulio da Silva Machado,Match Report,
,,,,,,,,,,,,,
9,Sat,2022-06-04,16:30,América (MG),0.8,2–1,0.4,Cuiabá,2720,Estádio Raimundo Sampaio,Raphael Claus,Match Report,
9,Sat,2022-06-04,19:00,Ceará,1.2,1–1,0.9,Coritiba,27602,Estádio Castelão,Flavio Rodrigues De Souza,Match Report,
9,Sat,2022-06-04,19:00,Avaí,1.8,1–1,2.2,São Paulo,,Estádio Aderbal Ramos da Silva,Anderson Daronco,Match Report,
9,Sat,2022-06-04,19:00,Atl Paranaense,1.6,2–2,2.1,Santos,19323,Estádio Joaquim Américo Guimarães,Braulio da Silva Machado,Match Report,
9,Sat,2022-06-04,20:30,Atl Goianiense,1.1,0–1,0.9,Corinthians,12089,Estádio Antônio Accioly,Bruno Arleu de Araujo,Match Report,
9,Sun,2022-06-05,11:00,Juventude,1.1,1–0,0.3,Fluminense,2573,Estádio Alfredo Jaconi,Jefferson Ferreira de Moraes,Match Report,
9,Sun,2022-06-05,16:00,Flamengo,1.9,1–2,2.2,Fortaleza,63975,Estadio Jornalista Mário Filho,Leandro Pedro Vuaden,Match Report,
9,Sun,2022-06-05,16:00,Palmeiras,0.9,0–0,0.4,Atlético Mineiro,40235,Allianz Parque,Wilton Sampaio,Match Report,
9,Sun,2022-06-05,19:00,Bragantino,0.6,0–2,1.5,Internacional,3062,Estádio Nabi Abi Chedid,Wagner do Nascimento Magalhães,Match Report,
9,Mon,2022-06-06,20:00,Botafogo (RJ),0.6,1–2,1.9,Goiás,30954,Estádio Nilton Santos,Paulo Henrique Schleinch Vollkopf,Match Report,
,,,,,,,,,,,,,
10,Wed,2022-06-08,19:00,América (MG),0.7,0–2,1.3,Ceará,2132,Estádio Raimundo Sampaio,Douglas Marques das Flores,Match Report,
10,Wed,2022-06-08,19:00,Juventude,1.7,1–3,1.3,Atl Paranaense,3590,Estádio Alfredo Jaconi,Luiz Flávio de Oliveira,Match Report,
10,Tue,2022-06-07,20:30 (21:30),Cuiabá,0.8,1–0,0.6,Corinthians,22129,Arena Pantanal,Marcelo de Lima Henrique,Match Report,
10,Wed,2022-06-08,20:30,Atl Goianiense,1.4,2–1,0.8,Avaí,5251,Estádio Antônio Accioly,Paulo Roberto Alves Júnior,Match Report,
10,Wed,2022-06-08,20:30,Bragantino,1.3,1–0,1.3,Flamengo,8627,Estádio Nabi Abi Chedid,Wilton Sampaio,Match Report,
10,Thu,2022-06-09,19:00,Palmeiras,2.7,4–0,0.8,Botafogo (RJ),33431,Allianz Parque,Anderson Daronco,Match Report,
10,Thu,2022-06-09,20:00,Coritiba,0.7,1–1,1.7,São Paulo,,Estádio Major Antônio Couto Pereira,Wagner do Nascimento Magalhães,Match Report,
10,Thu,2022-06-09,20:00,Fortaleza,1.2,1–1,0.5,Goiás,30017,Estádio Castelão,Bruno Arleu de Araujo,Match Report,
10,Wed,2022-06-08,21:30,Santos,3.9,1–1,1.0,Internacional,8845,Estádio Urbano Caldeira,Ramon Abatti Abel,Match Report,
10,Wed,2022-06-08,21:30,Fluminense,1.8,5–3,0.8,Atlético Mineiro,16143,Estadio Jornalista Mário Filho,Leandro Pedro Vuaden,Match Report,
,,,,,,,,,,,,,
11,Sat,2022-06-11,16:30,Corinthians,1.1,2–0,0.3,Juventude,34617,Neo Química Arena,Ramon Abatti Abel,Match Report,
11,Sat,2022-06-11,18:00 (19:00),Cuiabá,1.8,1–1,0.9,Bragantino,4476,Arena Pantanal,Paulo Roberto Alves Júnior,Match Report,
11,Sat,2022-06-11,19:00,Atlético Mineiro,1.5,1–1,1.8,Santos,26501,Estádio Governador Magalhães Pinto,Marcelo de Lima Henrique,Match Report,
11,Sat,2022-06-11,19:00,Fluminense,1.8,0–2,1.9,Atl Goianiense,27859,Estadio Jornalista Mário Filho,Luiz Flávio de Oliveira,Match Report,
11,Sun,2022-06-12,16:00,São Paulo,1.3,1–0,1.1,América (MG),26847,Estádio do Morumbi,Savio Pereira,Match Report,
11,Sun,2022-06-12,16:00,Goiás,1.3,1–1,1.6,Ceará,9011,Estádio de Hailé Pinheiro,Wagner do Nascimento Magalhães,Match Report,
11,Sun,2022-06-12,18:00,Coritiba,0.6,0–2,0.9,Palmeiras,27356,Estádio Major Antônio Couto Pereira,Leandro Pedro Vuaden,Match Report,
11,Sun,2022-06-12,19:00,Fortaleza,1.4,0–0,0.3,Atl Paranaense,18167,Estádio Castelão,André Luiz de Freitas Castro,Match Report,
11,Sat,2022-06-11,21:00,Internacional,1.9,3–1,1.2,Flamengo,22392,Estádio José Pinheiro Borba,Braulio da Silva Machado,Match Report,
11,Mon,2022-06-13,19:00,Botafogo (RJ),1.6,0–1,0.3,Avaí,12627,Estádio Nilton Santos,Flavio Rodrigues De Souza,Match Report,
,,,,,,,,,,,,,
12,Wed,2022-06-15,19:00,Ceará,0.8,0–0,1.0,Atlético Mineiro,26774,Estádio Castelão,Luiz Flávio de Oliveira,Match Report,
12,Wed,2022-06-15,19:00,Bragantino,1.7,4–2,1.2,Coritiba,2352,Estádio Nabi Abi Chedid,Marcelo de Lima Henrique,Match Report,
12,Wed,2022-06-15,20:30,Goiás,0.5,1–2,1.5,Internacional,8892,Estádio de Hailé Pinheiro,Caio Max Augusto Vieira,Match Report,
12,Wed,2022-06-15,20:30,Flamengo,1.7,2–0,0.2,Cuiabá,43930,Estadio Jornalista Mário Filho,Savio Pereira,Match Report,
12,Tue,2022-06-14,21:30,Juventude,0.6,1–2,1.1,Santos,3025,Estádio Alfredo Jaconi,Rodolpho Toski Marques,Match Report,
12,Thu,2022-06-16,16:00,Botafogo (RJ),1.4,1–0,0.4,São Paulo,18677,Estádio Nilton Santos,Wilton Sampaio,Match Report,
12,Thu,2022-06-16,18:00,Palmeiras,3.0,4–2,1.0,Atl Goianiense,38888,Allianz Parque,Ramon Abatti Abel,Match Report,
12,Thu,2022-06-16,19:00,Avaí,3.1,3–2,0.3,Fortaleza,8937,Estádio Aderbal Ramos da Silva,Raphael Claus,Match Report,
12,Wed,2022-06-15,21:30,Atl Paranaense,1.6,1–1,1.3,Corinthians,25965,Estádio Joaquim Américo Guimarães,Leandro Pedro Vuaden,Match Report,
12,Wed,2022-06-15,21:30,América (MG),1.0,0–0,1.3,Fluminense,2599,Estádio Raimundo Sampaio,Anderson Daronco,Match Report,
,,,,,,,,,,,,,
13,Sat,2022-06-18,18:00 (19:00),Cuiabá,0.6,0–0,0.5,Ceará,7512,Arena Pantanal,Flavio Rodrigues De Souza,Match Report,
13,Sun,2022-06-19,16:00,Atlético Mineiro,1.5,2–0,0.4,Flamengo,55373,Estádio Governador Magalhães Pinto,Raphael Claus,Match Report,
13,Sun,2022-06-19,16:00,Corinthians,1.6,1–0,0.3,Goiás,35900,Neo Química Arena,Braulio da Silva Machado,Match Report,
13,Sun,2022-06-19,16:00,Coritiba,2.0,0–1,1.6,Atl Paranaense,22609,Estádio Major Antônio Couto Pereira,Luiz Flávio de Oliveira,Match Report,
13,Sun,2022-06-19,18:00,Fortaleza,1.8,1–0,1.1,América (MG),17709,Estádio Castelão,Leandro Pedro Vuaden,Match Report,
13,Sun,2022-06-19,18:00,Internacional,3.1,2–3,1.5,Botafogo (RJ),26219,Estádio José Pinheiro Borba,Savio Pereira,Match Report,
13,Sun,2022-06-19,18:00,Atl Goianiense,3.8,3–1,0.4,Juventude,4524,Estádio Antônio Accioly,Marcelo de Lima Henrique,Match Report,
13,Sun,2022-06-19,19:00,Fluminense,1.7,2–0,0.5,Avaí,15530,Estadio Jornalista Mário Filho,Paulo Roberto Alves Júnior,Match Report,
13,Sat,2022-06-18,21:00,Santos,2.2,2–2,1.5,Bragantino,10924,Estádio Urbano Caldeira,Douglas Marques das Flores,Match Report,
13,Mon,2022-06-20,20:00,São Paulo,1.2,1–2,1.6,Palmeiras,31055,Estádio do Morumbi,Anderson Daronco,Match Report,
,,,,,,,,,,,,,
14,Sat,2022-06-25,16:30,Atl Paranaense,0.8,4–2,2.3,Bragantino,16327,Estádio Joaquim Américo Guimarães,Caio Max Augusto Vieira,Match Report,
14,Sat,2022-06-25,19:00,Corinthians,0.4,0–0,0.5,Santos,40842,Neo Química Arena,Flavio Rodrigues De Souza,Match Report,
14,Sat,2022-06-25,19:00,Flamengo,4.1,3–0,0.9,América (MG),42931,Estadio Jornalista Mário Filho,Ramon Abatti Abel,Match Report,
