Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
34,Robert Arboleda,ec ECU,DF,São Paulo,30,1991,8,8,720,8.0,0,0,0,0,0,0,1,0,0.5,0.5,0.1,0.7,1,18,2,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.08,0.07,0.08,Matches,269dbfc6
35,Jhon Arias,co COL,FWMF,Fluminense,24,1997,33,31,2663,29.6,7,10,17,6,1,1,4,0,3.4,2.7,7.1,9.7,138,171,266,0.24,0.34,0.57,0.20,0.54,0.12,0.24,0.35,0.09,0.33,Matches,86d96066
36,Arthur,br BRA,MFDF,América (MG),18,2003,7,1,178,2.0,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,5,10,11,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches,8a958856
37,Arthur,br BRA,FW,Corinthians,18,2003,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,e93fed32
38,Artur,br BRA,FWMF,Bragantino,23,1998,33,32,2787,31.0,6,6,12,6,0,0,3,0,6.4,6.4,5.9,12.3,74,112,266,0.19,0.19,0.39,0.19,0.39,0.21,0.19,0.40,0.21,0.40,Matches,105132cd
39,Eduard Atuesta,co COL,MF,Palmeiras,24,1997,26,5,658,7.3,1,0,1,1,0,0,4,0,1.1,1.1,0.7,1.8,20,43,52,0.14,0.00,0.14,0.14,0.14,0.14,0.10,0.24,0.14,0.24,Matches,60990b81
40,Felipe Augusto,br BRA,FW,Corinthians,17,2004,3,1,68,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,1f9cbd0b
41,Leo Augusto Pereira,br BRA,FWMF,Atl Goianiense,21,2000,30,6,1134,12.6,1,1,2,1,0,0,9,0,2.2,2.2,2.0,4.2,46,13,116,0.08,0.08,0.16,0.08,0.16,0.17,0.16,0.33,0.17,0.33,Matches,a3818875
42,Renato Augusto,br BRA,MF,Corinthians,33,1988,25,16,1402,15.6,1,3,4,1,0,0,0,0,1.4,1.4,3.7,5.1,28,139,91,0.06,0.19,0.26,0.06,0.26,0.09,0.24,0.33,0.09,0.33,Matches,83a6367a
43,Auremir,br BRA,MF,Goiás,30,1991,25,19,1480,16.4,0,0,0,0,0,0,5,0,0.5,0.5,0.1,0.6,5,44,5,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches,3a2e6d70
44,Auro,br BRA,DF,Santos,26,1996,8,5,387,4.3,0,0,0,0,0,0,3,0,0.1,0.1,0.3,0.4,4,19,17,0.00,0.00,0.00,0.00,0.00,0.01,0.07,0.08,0.01,0.08,Matches,b234cb0e
45,Danilo Avelar,br BRA,DF,América (MG),32,1989,19,10,862,9.6,0,2,2,0,0,0,2,0,1.1,1.1,1.0,2.0,4,47,28,0.00,0.21,0.21,0.00,0.21,0.11,0.10,0.21,0.11,0.21,Matches,eacb45fd
46,Felipe Azevedo,br BRA,MFFW,América (MG),35,1987,36,30,2274,25.3,4,2,6,4,0,0,3,1,4.1,4.1,3.1,7.2,58,109,189,0.16,0.08,0.24,0.16,0.24,0.16,0.12,0.28,0.16,0.28,Matches,4a22b15a
47,Matheus Babi,br BRA,FWMF,Atl Paranaense,24,1997,6,0,85,0.9,0,0,0,0,0,0,1,0,1.0,1.0,0.1,1.1,1,2,7,0.00,0.00,0.00,0.00,0.00,1.08,0.13,1.21,1.08,1.21,Matches,f48cff2c
48,Pedro Bahia,br BRA,MF,Goiás,19,2002,1,0,27,0.3,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,3964a23d
49,Fabrício Baiano,br BRA,FWMF,Fortaleza,29,1992,5,0,58,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,7,3,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,d8a48dad
50,Fabián Balbuena,py PAR,DF,Corinthians,30,1991,13,13,1080,12.0,3,0,3,3,0,0,2,0,1.1,1.1,0.0,1.1,1,34,1,0.25,0.00,0.25,0.25,0.25,0.09,0.00,0.09,0.09,0.09,Matches,3626f7d9
51,Robson Bambu,br BRA,DF,Corinthians,24,1997,7,4,393,4.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,3,0,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.03,0.03,0.03,Matches,d4fa7d01
52,Léo Baptistão,br BRA,FWMF,Santos,29,1992,17,16,1137,12.6,5,1,6,5,0,0,2,0,6.5,6.5,2.5,9.0,24,26,78,0.40,0.08,0.47,0.40,0.47,0.51,0.20,0.71,0.51,0.71,Matches,35f6db55
53,Gabriel Baralhas,br BRA,MF,Atl Goianiense,23,1998,30,26,2161,24.0,4,2,6,4,0,0,12,0,3.4,3.4,1.4,4.9,26,121,27,0.17,0.08,0.25,0.17,0.25,0.14,0.06,0.20,0.14,0.20,Matches,b7838aad
54,Danilo Barbosa,br BRA,MF,Botafogo (RJ),25,1996,6,1,166,1.8,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,0,9,1,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.09,0.03,0.09,Matches,0557ff4f
55,Gabriel Barbosa,br BRA,FW,Flamengo,25,1996,29,22,2047,22.7,11,1,12,10,1,3,11,1,11.1,8.7,4.6,13.3,44,114,172,0.48,0.04,0.53,0.44,0.48,0.49,0.20,0.69,0.38,0.59,Matches,72d0e1b6
